Subject,Start Date,Start Time,End Time,Location
ICT 1011 - Computer Organization and Arch,01/09/2023,04:00:00 PM,06:00:00 PM,Online
ICT 1011 - Computer Organization and Arch,08/09/2023,04:00:00 PM,06:00:00 PM,Online
ICT 1011 - Computer Organization and Arch,15/09/2023,04:00:00 PM,06:00:00 PM,Online
ICT 1011 - Computer Organization and Arch,22/09/2023,04:00:00 PM,06:00:00 PM,Online
ICT 1011 - Computer Organization and Arch,29/09/2023,04:00:00 PM,06:00:00 PM,Online
ICT 1011 - Computer Organization and Arch,06/10/2023,04:00:00 PM,06:00:00 PM,Online
ICT 1011 - Computer Organization and Arch,20/10/2023,04:00:00 PM,06:00:00 PM,Online
ICT 1011 - Computer Organization and Arch,27/10/2023,04:00:00 PM,06:00:00 PM,Online
ICT 1011 - Computer Organization and Arch,03/11/2023,04:00:00 PM,06:00:00 PM,Online
ICT 1011 - Computer Organization and Arch,10/11/2023,04:00:00 PM,06:00:00 PM,Online
ICT 1011 - Computer Organization and Arch,17/11/2023,04:00:00 PM,06:00:00 PM,Online
ICT 1011 - Computer Organization and Arch,24/11/2023,04:00:00 PM,06:00:00 PM,Online
ICT 1011 - Computer Organization and Arch,12/09/2023,09:00:00 AM,11:00:00 AM,NYP-L7SR7C
ICT 1011 - Computer Organization and Arch,26/09/2023,09:00:00 AM,11:00:00 AM,NYP-L7SR7C
ICT 1011 - Computer Organization and Arch,24/10/2023,09:00:00 AM,11:00:00 AM,NYP-L7SR7C
ICT 1011 - Computer Organization and Arch,07/11/2023,09:00:00 AM,11:00:00 AM,NYP-L7SR7C
ICT 1011 - Computer Organization and Arch,21/11/2023,09:00:00 AM,11:00:00 AM,NYP-L7SR7C
ICT 1011 - Computer Organization and Arch,11/09/2023,10:00:00 AM,11:00:00 AM,Online
ICT 1011 - Computer Organization and Arch,18/09/2023,10:00:00 AM,11:00:00 AM,Online
ICT 1011 - Computer Organization and Arch,25/09/2023,10:00:00 AM,11:00:00 AM,Online
ICT 1011 - Computer Organization and Arch,02/10/2023,10:00:00 AM,11:00:00 AM,Online
ICT 1011 - Computer Organization and Arch,16/10/2023,10:00:00 AM,11:00:00 AM,Online
ICT 1011 - Computer Organization and Arch,23/10/2023,10:00:00 AM,11:00:00 AM,Online
ICT 1011 - Computer Organization and Arch,30/10/2023,10:00:00 AM,11:00:00 AM,Online
ICT 1011 - Computer Organization and Arch,06/11/2023,10:00:00 AM,11:00:00 AM,Online
ICT 1011 - Computer Organization and Arch,20/11/2023,10:00:00 AM,11:00:00 AM,Online
